None,identifier
None,count
authoritativeMN,
e in DSpace on,1
urn:node:CDL,250
urn:node:CLOEBIRD,2
urn:node:DRYAD,250
urn:node:EDACGSTORE,250
urn:node:EDORA,28
urn:node:ESA,53
urn:node:GLEON,13
urn:node:GOA,98
urn:node:IARC,250
urn:node:IOE,24
urn:node:KNB,250
urn:node:KUBI,172
urn:node:LTER,250
urn:node:LTER_EUROPE,165
urn:node:NMEPSCOR,7
urn:node:ONEShare,111
urn:node:ORNLDAAC,250
urn:node:PISCO,250
urn:node:RGD,250
urn:node:SANPARKS,250
urn:node:SEAD,18
urn:node:TERN,250
urn:node:TFRI,250
urn:node:USANPN,7
urn:node:USGSCSAS,250
urn:node:US_MPC,250
